编码名称,编码定义,来源文件数量,总出现次数,具体语句汇总,涉及文件,被合并的原始编码,代表性评分
同辈竞争压力,个体因感知到周围人持续高强度投入工作或学习，产生被落下或落后的恐惧，从而在休息时感到焦虑和不安,23,24,[文件: sub024.txt] “身边人太卷了！！！感觉自己不做点什么就会焦虑跟不上了。。可恶” | [文件: sub042.txt] “其次是高校的竞争环境，同学们都在努力学习、竞赛、实习，这种氛围让人觉得休息是在浪费时间、落后于他人” | [文件: sub100.txt] “同龄人的内卷” | [文件: sub159.txt] “同辈竞争” | [文件: sub163.txt] “同辈竞争压力” | [文件: sub171.txt] “周围同龄人的不断裹挟和社会的不断内卷导致在休息的时候会有些负罪感，总是担心会有点被别人超越。” | [文件: sub031.txt] “还有同辈压力” | [文件: sub090.txt] “同辈压力” | [文件: sub104.txt] “周围同龄人的努力程度” | [文件: sub111.txt] “同学的努力” | [文件: sub009.txt] “朋友圈晒出的‘今日学习13h’截图、群里随时跳动的‘大佬又发论文’链接” | [文件: sub006.txt] “同辈压力……都会要求自己努力工作，不要懈怠” | [文件: sub014.txt] “向外比较的过程中生成过多的压力” | [文件: sub017.txt] 看到同龄人或同事不断产出成果，容易产生“我不够努力”的心理，从而在休息时感到内疚。 | [文件: sub032.txt] “自发的与周围同学进行比较，给自己施加压力” | [文件: sub037.txt] “社会因素，同龄人过度内卷” | [文件: sub055.txt] “如果二者各方面水平比不多，就会产生攀比心理，比如一人在工作，一人在休息，后者就可能会产生休息焦虑。” | [文件: sub080.txt] “身边同龄人给的压力” | [文件: sub112.txt] “日益激烈的就业环境、考研保研环境” | [文件: sub121.txt] “附近人都在学，身边人都取得了优异成绩，促使自己学习，不能休息，也不敢休息。” | [文件: sub128.txt] “一旦落后于他人，在竞争中就可能会失去优势，进而投射到现在的处境进而感到焦虑” | [文件: sub134.txt] “当今时代学生的整体素质提高，学习竞争力更大，面对社会就业的难题，我们不得不开始‘内卷’，让自己在同龄人中脱颖而出。” | [文件: sub158.txt] “经常与同层次的人比较自己的不足，害怕落后与同层次的人”,"sub006.txt, sub009.txt, sub014.txt, sub017.txt, sub024.txt, sub031.txt, sub032.txt, sub037.txt, sub042.txt, sub055.txt, sub080.txt, sub090.txt, sub100.txt, sub104.txt, sub111.txt, sub112.txt, sub121.txt, sub128.txt, sub134.txt, sub158.txt, sub159.txt, sub163.txt, sub171.txt",同辈竞争压力; 同辈压力; 同辈努力压力; 同辈学业表现的可见性压力; 同辈竞争带来的自我约束; 同伴比较压力; 同辈产出压力; 与同辈自发比较产生的压力; 同辈竞争压力下的行为参照; 同侪水平相近时的攀比压力; 同辈压力驱动的自我监控; 竞争性社会环境压力; 同辈学业成就压力; 竞争劣势引发的焦虑投射; 同辈竞争压力加剧; 同辈竞争焦虑,0.8835407495498657
自我要求过高,个体对自身设定严苛标准，认为只有持续产出才有价值，休息被视为懈怠或失败的表现，从而引发羞耻感,14,14,[文件: sub008.txt] “自身对自身的要求比较高” | [文件: sub119.txt] “自己对自己有高要求” | [文件: sub130.txt] “对自己的要求吧” | [文件: sub162.txt] “对自己要求比较高但又难以做到想象中的自律” | [文件: sub003.txt] “可能比较要强的人，对自己要求比较高的人会出现这种情况” | [文件: sub040.txt] “对自己有更高的期望” | [文件: sub050.txt] “完美主义倾向” | [文件: sub060.txt] “我对自己的过高期待” | [文件: sub062.txt] “从个人角度来看，就是对自我的要求太严苛了” | [文件: sub069.txt] “人们对自己的要求过高……也会造成休息羞耻现象。” | [文件: sub074.txt] “我觉得是我自己给自己设定的目标太高” | [文件: sub091.txt] “性格比较容易内耗，对自我要求高，有点强迫症和完美主义，希望自己变成比较完美的人” | [文件: sub108.txt] “对自身的高标准” | [文件: sub109.txt] “社会也许对我不是刚需，但我对自己的要求，会认为努力后才能够着的位置耗费了自己大半勇气”,"sub003.txt, sub008.txt, sub040.txt, sub050.txt, sub060.txt, sub062.txt, sub069.txt, sub074.txt, sub091.txt, sub108.txt, sub109.txt, sub119.txt, sub130.txt, sub162.txt",自我要求过高; 高自我要求倾向; 自我期望过高; 完美主义驱动的自我要求; 自我成就标准过高; 自我要求严苛; 过高的自我要求; 过高自我目标设定; 高自我要求与完美主义倾向; 自我高标准要求; 自我设定的高成就标准,0.8850801587104797
优绩主义内化,个体将社会对成就和效率的推崇内化为自我价值标准，认为只有持续产出才值得被认可，从而在休息时产生自我否定,5,5,[文件: sub012.txt] “优绩主义” | [文件: sub036.txt] “从小的教育总是会告诉我们要好好利用时间，以及优绩主义对我的影响，让我不自觉和他人比较，觉得休息可耻” | [文件: sub052.txt] “感觉像优绩主义根深蒂固” | [文件: sub070.txt] “过强的成就动机，渴望他人的认可的需求对自己价值感的肯定以及他人的肯定以及优绩主义的影响” | [文件: sub005.txt] “社会倡导着所谓的优绩主义，从小就参加各种补习班，父母以及社会灌输着一定要非常努力取得好成绩才能出人头地的观念，加上同辈之间也是如此，慢慢接受，长大以后这种痕迹依然遗留”,"sub005.txt, sub012.txt, sub036.txt, sub052.txt, sub070.txt",优绩主义内化; 优绩主义文化内化,0.9209228754043579
竞争性环境压力,个体因感知到周围同伴普遍处于高强度努力状态，而将休息视为落后或退步，从而产生羞耻感,13,14,[文件: sub033.txt] “其他的同学都太卷了，大环境也太卷了，感觉不去干点什么有意义的事情就是在退步。” | [文件: sub048.txt] “大环境太卷了，自己一旦休息下来就害怕别人超过自己” | [文件: sub082.txt] “环境氛围（周围人的攀比心强度、周围人的工作时间强度）” | [文件: sub106.txt] “就是你身边大家都在卷啊” | [文件: sub045.txt] “我觉得主要是现在太内卷了吧，然后名额比较少，然后大家需要追逐的东西很多。” | [文件: sub061.txt] “当今社会资源少，不得不陷入内卷” | [文件: sub021.txt] “我觉得休息羞耻的出现，首先是社会‘卷’得太凶了。大家都在比谁更努力、谁成果更多，休息就像个异类，仿佛一休息就会被甩在后面。”<br>“就拿我们学校来说，图书馆永远有人在刷题、做实验，要是你在宿舍躺平刷剧，心里就会犯嘀咕，觉得自己在浪费时间，跟同学一比就矮了一截。” | [文件: sub050.txt] “竞争心理” | [文件: sub073.txt] “当代社会的高压竞争环境” | [文件: sub119.txt] “内卷” | [文件: sub138.txt] “社会比较压力” | [文件: sub162.txt] “环境内卷加剧” | [文件: sub170.txt] “看到周围人很努力，就会觉得自己休息有些羞耻”,"sub021.txt, sub033.txt, sub045.txt, sub048.txt, sub050.txt, sub061.txt, sub073.txt, sub082.txt, sub106.txt, sub119.txt, sub138.txt, sub162.txt, sub170.txt",竞争性环境压力; 资源稀缺引发的竞争压力; 竞争性社会氛围; 竞争意识引发的休息压力; 高压竞争的社会环境; 竞争压力感知; 社会比较压力; 环境竞争压力; 竞争性社会氛围感知,0.8705617189407349
自我价值绑定于生产力,个体将自我价值过度依赖于工作成就或产出，认为休息意味着价值降低，从而产生羞耻感,6,6,[文件: sub022.txt] “个人对自我价值的过高要求” | [文件: sub138.txt] “将自我价值与生产力绑定的思维习惯” | [文件: sub163.txt] “个人对自我价值与 productivity 深度绑定的认知” | [文件: sub070.txt] “过强的成就动机，渴望他人的认可的需求对自己价值感的肯定以及他人的肯定以及优绩主义的影响” | [文件: sub139.txt] “自我要求过高，认为只有持续产出才有价值” | [文件: sub159.txt] “自我价值偏差”,"sub022.txt, sub070.txt, sub138.txt, sub139.txt, sub159.txt, sub163.txt",自我价值与生产力绑定; 成就导向的自我价值绑定; 自我价值绑定于持续产出; 自我价值绑定于生产力,0.9213078618049622
社会内卷压力,社会普遍存在的过度竞争环境使个体感到必须持续努力，从而在休息时产生羞耻感,24,24,[文件: sub056.txt] “当今社会内卷严重” | [文件: sub067.txt] “一方面是外在社会环境越来越内卷，让我们产生了只要不时刻努力就会被落下的想法” | [文件: sub094.txt] “当前社会内卷太过严重，让人没有休息的时间，自己休息会觉得内心不安” | [文件: sub072.txt] “我认为是这个社会的内卷风气导致的休息羞耻问题 ，大家都很努力的去工作” | [文件: sub098.txt] “内卷的氛围” | [文件: sub171.txt] “周围同龄人的不断裹挟和社会的不断内卷导致在休息的时候会有些负罪感，总是担心会有点被别人超越。” | [文件: sub092.txt] “社会的主流文化还是内卷，所以我认为会产生休息羞耻” | [文件: sub115.txt] “社会环境要求，人们不断内卷，仿佛不卷就是罪，不卷就会被其他人落下” | [文件: sub150.txt] “当代的学习工作风气就是卷，内卷，总有比你更努力的” | [文件: sub103.txt] “其一是整体社会更趋向于竞争的社会大环境” | [文件: sub141.txt] “现在人的内卷风波” | [文件: sub012.txt] “社会期待” | [文件: sub014.txt] “越来越卷的社会条件” | [文件: sub023.txt] “和内卷的社会现象导致休息休息” | [文件: sub034.txt] “升学就业压力” | [文件: sub068.txt] “社会风气更是内卷” | [文件: sub069.txt] “所处环境压力过大等也会造成休息羞耻现象。” | [文件: sub096.txt] “可能是从小到大的教育，可能是整个氛围的内卷，需要不停地学习。” | [文件: sub114.txt] “大家都在努力向上的大环境” | [文件: sub132.txt] “内卷不断加剧的社会” | [文件: sub144.txt] 无止境的内卷压力氛围与个人内心对放松和宁静的向往渴求之间产生的心理冲突 | [文件: sub145.txt] “当代社会过于内卷，如果你不努力的话，大家都在努力，所以被迫投入忙碌的生活” | [文件: sub151.txt] “自身和外界的压力比较大。” | [文件: sub161.txt] “上大学内卷氛围严重”,"sub012.txt, sub014.txt, sub023.txt, sub034.txt, sub056.txt, sub067.txt, sub068.txt, sub069.txt, sub072.txt, sub092.txt, sub094.txt, sub096.txt, sub098.txt, sub103.txt, sub114.txt, sub115.txt, sub132.txt, sub141.txt, sub144.txt, sub145.txt, sub150.txt, sub151.txt, sub161.txt, sub171.txt",社会内卷压力; 社会内卷氛围; 内卷文化压力; 社会竞争氛围加剧; 社会期待压力; 社会竞争加剧; 内卷化社会压力; 升学与就业竞争压力; 社会整体内卷风气; 环境压力过大; 社会内卷氛围压力; 社会整体奋进氛围的压力; 社会竞争环境强化; 内卷环境与休息渴望的冲突; 群体性内卷压力; 内外压力叠加; 教育环境内卷氛围,0.8823955655097961
对落后的恐惧,个体担心休息会导致在学业、工作或竞争中被他人超越，因害怕掉队而无法安心休息,5,6,[文件: sub084.txt] “对‘落后’的恐惧” | [文件: sub119.txt] “害怕被别人超过的痛苦，对落后别人的恐惧” | [文件: sub050.txt] “不甘屈于人下的自我追求” | [文件: sub146.txt] “自己懒又怕被别人超过” | [文件: sub159.txt] “错失恐惧”,"sub050.txt, sub084.txt, sub119.txt, sub146.txt, sub159.txt",对落后的恐惧; 对落后于他人的恐惧; 担忧被他人超越; 错失恐惧驱动,0.8605815768241882
自我归因为懒惰,个体将休息视为懒惰的表现，并因自身缺乏行动而产生羞耻与焦虑,2,2,[文件: sub007.txt] “我认为是能是自己的懒惰造成了休息羞耻，由于自己的不行动才会使自己焦虑。” | [文件: sub027.txt] “我的懒惰，我总是不能提起勇气，不能坚持，开始我的学习，于是恶性循环。”,"sub007.txt, sub027.txt",自我归因为懒惰,1.0
自我效能感低下,个体因缺乏对自身能力的信心，在休息时产生“我不配休息”或“休息会让我落后”的想法，从而引发羞耻感,8,8,[文件: sub010.txt] “自身能力不足” | [文件: sub052.txt] “更多的也是对自己能力的不自信” | [文件: sub011.txt] “对个人能力的不满意” | [文件: sub026.txt] “对自己能力的不信任” | [文件: sub074.txt] “对自己不够自信，让我在休息的时候会感到羞耻” | [文件: sub078.txt] “对自己的不自信” | [文件: sub129.txt] “可能是因为自己的不自信” | [文件: sub132.txt] “对自己的不自信”,"sub010.txt, sub011.txt, sub026.txt, sub052.txt, sub074.txt, sub078.txt, sub129.txt, sub132.txt",自我能力怀疑; 自我能力不足感; 能力自我怀疑; 自我效能感不足; 自我效能怀疑; 自我价值感不足; 自我效能感低下,0.8935208916664124
未来不确定性焦虑,对未来缺乏明确预期引发不安，使个体认为此时休息是不负责任或不合时宜的,8,8,[文件: sub031.txt] “对未来的焦虑等” | [文件: sub032.txt] “对未来的不确定性” | [文件: sub078.txt] “对未来的不肯定” | [文件: sub129.txt] “也有对未来的恐惧和迷茫” | [文件: sub001.txt] “未来的不确定性导致的焦虑，对于自己的生活失去了控制感，以至于知道自己如果休息了的话，之后可能事情会走向更不好的发展。” | [文件: sub086.txt] “对未来的未知” | [文件: sub103.txt] “大家对于未来就业的焦虑” | [文件: sub165.txt] 对自我定位的迷茫与对未来的迷茫，反映到当下就是对于休息的焦虑,"sub001.txt, sub031.txt, sub032.txt, sub078.txt, sub086.txt, sub103.txt, sub129.txt, sub165.txt",未来不确定性引发的焦虑; 未来不确定性焦虑; 对失控后果的担忧; 对未来不确定性的焦虑; 就业前景焦虑; 未来方向不明引发的休息焦虑,0.9065658450126648
拖延引发的休息负罪感,因主动回避任务而选择休息，导致休息被感知为逃避责任，从而引发焦虑与自责,2,2,[文件: sub035.txt] “做事拖延，宁愿休息也不远主动利用时间去做，所以会焦虑” | [文件: sub126.txt] “加上自己的拖延症”,"sub035.txt, sub126.txt",拖延引发的休息负罪感,1.0
同辈学业比较,在休息时将自身状态与同学进行对比，因感知他人仍在努力而觉得自己不应休息，引发不适感,4,4,[文件: sub040.txt] “将自己与同学的比较” | [文件: sub130.txt] “同龄人的学习情况、学习成绩以及学习节奏” | [文件: sub010.txt] “总爱跟同学横向对比，而不是先寻找自己进步的方式” | [文件: sub013.txt] “自己希望能将学习、科研等做得更好，并且旁边人学习都十分努力。我认为最主要的是目前就业环境不好，我会担心不努力学习以后无法找到一份理想的工作”,"sub010.txt, sub013.txt, sub040.txt, sub130.txt",同辈学业比较; 同辈横向比较压力; 同辈努力氛围引发的自我对照,0.866504430770874
恐惧落后于他人,个体在他人工作时休息，因担心自身进度或成就被超越而产生羞耻感,3,3,[文件: sub092.txt] “在别人的工作时，我们就会产生会落后于他人的恐惧” | [文件: sub153.txt] “害怕被别人落下，害怕放松的时候会被超过” | [文件: sub139.txt] “学生和职场人面临学业、工作竞争压力，担心休息会落后于他人”,"sub092.txt, sub139.txt, sub153.txt",恐惧落后于他人; 对落后于他人的担忧,0.8810703158378601
努力至上价值观的内化,社会普遍推崇“努力至上”的价值取向，使个体将休息等同于懒惰，从而产生羞耻感,3,3,[文件: sub135.txt] “从社会环境看，‘努力至上’的价值观盛行，大家都在卷成绩、卷竞赛，让我们觉得休息就是偷懒” | [文件: sub139.txt] “从社会环境看，‘努力至上’的价值观盛行，人们将忙碌与成功、价值画等号，休息被视为懒惰” | [文件: sub051.txt] “整个东亚社会文化对努力第一、休息可耻的认识”,"sub051.txt, sub135.txt, sub139.txt",努力至上价值观的内化; 努力至上文化规范,0.8661763668060303
未完成任务引发的焦虑,个体因存在尚未完成的任务而产生焦虑感，认为只有完成任务后才能安心休息，从而在休息时感到不适或羞耻,7,7,[文件: sub151.txt] “有事没弄完，弄完了就不焦虑了。” | [文件: sub169.txt] “休息时会触发一种‘未完成任务’的焦虑感，会不由自主地想起未完成的学习任务” | [文件: sub050.txt] “焦虑” | [文件: sub059.txt] “疲惫但需要干的事情还有很多，自己能量透支太多需要补充，但需要干的事情还有很多。” | [文件: sub101.txt] 对于完不成任务或达不成既定目标的恐惧与担忧 | [文件: sub102.txt] “有一种可能是自己本该完成的事情还没有完成” | [文件: sub108.txt] “学习任务没完成”,"sub050.txt, sub059.txt, sub101.txt, sub102.txt, sub108.txt, sub151.txt, sub169.txt",未完成任务引发的焦虑; 对未完成事务的持续担忧; 未完成任务压力; 对未完成任务的恐惧; 未完成任务的压力; 未完成任务焦虑,0.8960508108139038
虚拟空间中的持续绩效监控,数字媒介（如宿舍灯光、群聊、社交媒体）使他人的努力状态高度可见，形成无处不在的隐性监督环境，个体在其中难以合理化自身休息行为,1,3,[文件: sub009.txt] “凌晨两点的台灯、朋友圈晒出的‘今日学习13h’截图、群里随时跳动的‘大佬又发论文’链接，都在提醒我”,sub009.txt,虚拟空间中的持续绩效监控,1.0
休息与懒惰的道德绑定,个体在成长过程中被灌输“休息等于不务正业”的价值判断，将休息道德化为懒惰或错误行为，导致休息时产生内疚。,1,2,[文件: sub021.txt] “然后是从小到大的教育影响，爸妈和老师总说‘少壮不努力，老大徒伤悲’，把休息和不务正业划等号。”<br>“我小时候只要一闲下来，我妈就会问‘作业写完了吗？书看了吗？’，时间长了，一休息就觉得愧疚，好像只有一直学习、一直做事才是对的。”,sub021.txt,休息与懒惰的道德绑定,1.0
对他人努力的想象性监控,个体在休息时主动想象他人正在努力工作或取得进展，由此产生被超越的焦虑，进而否定自身休息的正当性。,1,2,[文件: sub021.txt] “还有就是自己跟自己较劲，总担心别人在偷偷努力。”<br>“比如我室友在准备竞赛，我要是在玩游戏，就会忍不住想‘她是不是又做出了一个新模型？’，越想越焦虑，觉得自己这时候休息就是在浪费机会，哪怕知道自己已经很累了，也不敢安心歇着。”,sub021.txt,对他人努力的想象性监控,1.0
家庭价值导向强调产出,家庭在成长过程中传递“休息必须产生价值”的观念，使个体将休息与无效、浪费等负面评价关联，从而在无产出时产生羞耻感,1,2,[文件: sub037.txt] “家庭教育”；“应试教育下从小开始就被教育休息时间也应该去‘创造价值’”,sub037.txt,家庭价值导向强调产出,1.0
高强度学业竞争环境,个体所处的教育环境中存在对成绩、综合测评等指标的过度竞争，导致休息被视为落后或懈怠，从而引发羞耻感,10,12,[文件: sub057.txt] “保研竞争”“卷绩点卷综测卷到厌倦” | [文件: sub123.txt] “无法在短时间内取得较好的成绩”“从小到大被传输应该抓紧每一分时间” | [文件: sub018.txt] “一个是从小生长的环境，比如家庭或者学校一直是一种竞争的模式。” | [文件: sub079.txt] “对自己的要求比较高” | [文件: sub109.txt] “升学压力，竞争的人太多，我不努力，有的是比我努力的人。” | [文件: sub126.txt] “对绩点的期盼和对成绩的要求” | [文件: sub143.txt] 高中学习生活比较强调学习成绩，一直向同学们传达一些不算特别健康的理念。 | [文件: sub149.txt] “学业压力……造成了休息羞耻症” | [文件: sub154.txt] “现在的社会升学和就业压力过大” | [文件: sub170.txt] “生活压力大，学业竞争压力大，就业压力大”,"sub018.txt, sub057.txt, sub079.txt, sub109.txt, sub123.txt, sub126.txt, sub143.txt, sub149.txt, sub154.txt, sub170.txt",高强度学业竞争环境; 成绩导向的时间紧迫感; 竞争性成长环境; 高自我学业标准; 高强度学业竞争感知; 高学业成就期待; 学业成绩导向的教育氛围; 学业压力驱动的休息否定; 社会竞争压力内化; 多重结构性压力叠加,0.8720418810844421
外部成就期待压力,来自家庭或社会对个体持续高产出和成功的期待，使个体认为休息是对期待的背离，从而产生羞耻感,4,5,[文件: sub140.txt] “社会压力，家长的期待” | [文件: sub019.txt] “焦虑呗还有啥事，学习，要写论文，要竞赛，要找个好工作，赚钱。” | [文件: sub060.txt] “别人对我的过高期待” | [文件: sub141.txt] “父母的期望”,"sub019.txt, sub060.txt, sub140.txt, sub141.txt",外部成就期待压力; 未来成就压力; 外部高期待压力; 家庭成就期待压力,0.8824217319488525
习惯性忙碌内化,个体因长期处于忙碌状态，将高强度活动视为常态，导致休息时产生异常感与不适，进而引发羞耻体验,2,2,[文件: sub002.txt] “我感觉自己像一个永动机哈哈，就是从小到大习惯这种忙碌的状态了，所以一休息反而觉得很奇怪、非常奇怪，浑身不舒服，这种不舒服感也造成了一定的羞耻，就好像我在偷懒、无所事事一样。” | [文件: sub164.txt] “我觉得可能是我的愧疚心吧，不是很适应自己从很忙碌的时候脱出来”,"sub002.txt, sub164.txt",习惯性忙碌内化; 忙碌脱离不适感,0.8573698401451111
学历身份压力,高学历身份被赋予更高的社会期待或自我期待，导致个体在休息时感到与身份不符而产生羞耻感,1,1,[文件: sub003.txt] “可能学历越高，这种情况越明显”,sub003.txt,学历身份压力,1.0
内卷环境感知,个体感知到所处环境中普遍存在过度竞争和无效努力，认为休息意味着落后，从而对休息产生负面情绪,1,1,[文件: sub003.txt] “我认为这是一种内卷的现象”,sub003.txt,内卷环境感知,1.0
社会对持续奋斗的推崇,社会文化强调唯有不断努力才能获得成功与理想生活，使个体将休息视为对主流价值的背离，从而产生羞耻感,5,5,[文件: sub004.txt] “我觉得是因为压力太大，社会驱动我们不断前进，才能取得我们想要的金钱地位与美好的生活” | [文件: sub006.txt] “社会背景……都会要求自己努力工作，不要懈怠” | [文件: sub022.txt] “社会文化对‘持续产出’的推崇” | [文件: sub076.txt] 社会过度推崇“奋斗文化”，将休息等同于懒惰。这种价值观内化后，使人一休息就产生虚度光阴的负罪感，即休息羞耻。 | [文件: sub090.txt] “社会环境推崇的‘进取’”,"sub004.txt, sub006.txt, sub022.txt, sub076.txt, sub090.txt",社会对持续奋斗的推崇; 社会对勤奋的推崇; 社会对持续产出的推崇; 奋斗文化内化; 社会推崇进取文化,0.8753976225852966
学术评价体系的压力,学术环境以产出和效率为核心评价标准，导致个体认为休息会落后或不符合规范,1,1,[文件: sub006.txt] “学术体系……都会要求自己努力工作，不要懈怠”,sub006.txt,学术评价体系的压力,1.0
家庭对成就的高期待,原生家庭强调努力和成就，使个体内化“不可松懈”的信念，休息被视为辜负家庭期望,1,1,[文件: sub006.txt] “原生家庭……都会要求自己努力工作，不要懈怠”,sub006.txt,家庭对成就的高期待,1.0
内在成就动机过强,个体自身对高效和产出有强烈需求，将休息视为对自我要求的背离,7,7,[文件: sub006.txt] “自身需求……都会要求自己努力工作，不要懈怠” | [文件: sub011.txt] “需要更多时间充实自己” | [文件: sub056.txt] “自己的成就动机……又很多” | [文件: sub104.txt] “自己的上进心” | [文件: sub111.txt] “自我的催促” | [文件: sub128.txt] “个人原因就是一个比较争强好胜的人，所以才放松不下来” | [文件: sub166.txt] “不够用功，焦虑过度。”,"sub006.txt, sub011.txt, sub056.txt, sub104.txt, sub111.txt, sub128.txt, sub166.txt",内在成就动机过强; 自我提升紧迫感; 成就动机驱动; 内在成就驱力; 内在自我驱策; 争强好胜的个性倾向; 自我努力不足感,0.8731005787849426
高强度工作任务压力,个体因承担过重的工作任务而感到无法安心休息，认为休息会耽误工作进度，从而产生羞耻或内疚感,3,3,[文件: sub008.txt] “可能是工作任务繁重” | [文件: sub014.txt] “不断堆积的工作” | [文件: sub040.txt] “学业压力”,"sub008.txt, sub014.txt, sub040.txt",高强度工作任务压力; 工作积压压力; 学业任务压力,0.8647102117538452
社会规训内化,个体将社会对“勤奋”“高效”的规范内化为自我要求，认为休息违背了社会期待，因而对休息产生负面情绪,1,1,[文件: sub008.txt] “社会对人的规训”,sub008.txt,社会规训内化,1.0
休息被建构为退出竞争的象征,个体将休息行为解读为对学业或职业赛道的主动放弃，认为一旦休息即意味着丧失竞争力，因而产生道德化负罪感,1,1,[文件: sub009.txt] “而我若敢合上电脑，就像主动退出赛道”,sub009.txt,休息被建构为退出竞争的象征,1.0
时间利用的道德化认知,将时间必须用于 productive 活动（如学习、工作）视为道德义务，短暂休息（如午睡）因此被体验为对责任的违背，引发内疚,1,1,[文件: sub009.txt] “连午睡二十分钟都带负罪感”,sub009.txt,时间利用的道德化认知,1.0
休息与时间损失的灾难化联想,将短暂休息想象为不可逆的时间浪费，伴随“被远远甩离”的紧迫感，使休息行为与灾难性后果建立心理联结,1,1,[文件: sub009.txt] “仿佛床板下藏着倒计时炸弹，一闭眼就被‘同龄人’远远甩离”,sub009.txt,休息与时间损失的灾难化联想,1.0
