编码名称,编码定义,来源文件数量,总出现次数,具体语句汇总,涉及文件,被合并的原始编码,代表性评分
任务拖延引发的负罪感,因未能按时完成应尽任务而产生的拖延行为，导致在休息时感到内疚和羞耻,1,1,[文件: sub010.txt] “有拖延症，不能及时完成该做的事”,sub010.txt,任务拖延引发的负罪感,1.0
时间浪费恐惧,个体担忧休息会占用本可用于 productive 活动的时间，将休息等同于浪费，从而引发内疚或焦虑,2,2,[文件: sub011.txt] “害怕过度休息会造成时间上的浪费” | [文件: sub043.txt] 学习工作的时候不专注，效率低下，休息的时候又焦虑没有在好好利用时间,"sub011.txt, sub043.txt",时间浪费恐惧; 时间利用焦虑,0.8690657615661621
完美主义倾向,对自身表现设定过高标准，认为休息意味着懈怠或失败，无法容忍未完成任务或表现不完美，导致休息时产生焦虑与自责,2,2,[文件: sub012.txt] “完美主义” | [文件: sub140.txt] “自己养成的必须尽最大努力的习惯”,"sub012.txt, sub140.txt",完美主义倾向; 自我施加的完美主义倾向,0.9057960510253906
长期行为驯化,在成长或工作环境中长期被训练为“必须高效”“不能停歇”，形成条件反射式的劳动惯性，使休息被视为异常或错误行为,1,1,[文件: sub012.txt] “长期被驯化”,sub012.txt,长期行为驯化,1.0
休息价值感缺失,个体内心不认可休息的必要性或正当性，认为休息不具备积极意义，从而在休息时产生羞耻体验,5,5,[文件: sub012.txt] “不懂如何正确休息” | [文件: sub023.txt] “我认为是能动力差……导致休息休息” | [文件: sub040.txt] “焦虑愧疚有压力” | [文件: sub105.txt] “因为我没有按照自己的计划休息，固然耽误了我正常计划的进行，固然导致休息焦虑或休息羞耻” | [文件: sub149.txt] “觉得休息没价值……造成了休息羞耻症”,"sub012.txt, sub023.txt, sub040.txt, sub105.txt, sub149.txt",休息技能缺失; 能动力不足; 休息伴随负面情绪体验; 未遵循个人休息计划; 休息价值感缺失,0.8811203241348267
心理健康困扰,存在焦虑、抑郁等心理状态，导致个体难以放松，休息时反而被负面思维侵扰，强化了对休息的抵触与羞耻体验,2,2,[文件: sub012.txt] “心理问题” | [文件: sub166.txt] “不够用功，焦虑过度。”,"sub012.txt, sub166.txt",心理健康困扰; 过度焦虑倾向,0.8559081554412842
就业压力驱动的自我要求,个体因担忧未来就业前景而对自身提出高强度学习或工作要求，认为必须持续努力才能获得理想职业，从而在休息时产生羞耻感,3,3,[文件: sub013.txt] “自己希望能将学习、科研等做得更好，并且旁边人学习都十分努力。我认为最主要的是目前就业环境不好，我会担心不努力学习以后无法找到一份理想的工作” | [文件: sub057.txt] “就业压力” | [文件: sub098.txt] “社会各方面就业压力”,"sub013.txt, sub057.txt, sub098.txt",就业压力驱动的自我要求; 就业前景不确定性带来的压力; 就业压力,0.8619958758354187
努力回报信念,个体持有“努力必有回报”的信念，将休息视为对努力的背离，进而产生道德或价值层面的自我质疑,1,1,[文件: sub014.txt] “想过上幸福生活的美好愿景，认为努力就有回报”,sub014.txt,努力回报信念,1.0
好孩子规训内化,个体在成长过程中被反复强化“持续学习=好孩子”的价值判断，将休息与道德缺陷或自我否定关联,1,1,[文件: sub014.txt] “从小被灌输的时刻保持学习状态会被认为是好孩子”,sub014.txt,好孩子规训内化,1.0
外部认同依赖,个体过度依赖他人评价来确认自我价值，导致在休息时因担心被负面评判而产生羞耻感,2,2,[文件: sub014.txt] “强烈的认同感需求让自己活在别人的看法里” | [文件: sub070.txt] “过强的成就动机，渴望他人的认可的需求对自己价值感的肯定以及他人的肯定以及优绩主义的影响”,"sub014.txt, sub070.txt",外部认同依赖; 外部认可依赖,0.870597243309021
决策冲突倾向,个体在面对休息与工作这一对冲突选项时，缺乏清晰的价值排序，容易陷入反复权衡与自我怀疑,1,1,[文件: sub014.txt] “在休息和工作两个有明显冲突的选项中会不自觉陷入矛盾情绪”,sub014.txt,决策冲突倾向,1.0
反刍性自我审视,个体在休息时反复回顾自身行为与状态，进行过度自我检视，放大休息的“不当性”,1,1,[文件: sub014.txt] “在自我反刍……的过程中生成过多的压力”,sub014.txt,反刍性自我审视,1.0
早期教育塑造的休息观念,个体在成长过程中因家庭教育和早期学业训练形成对休息的负面认知，认为休息是懒惰或不务正业的表现，从而在休息时产生羞耻感,2,3,[文件: sub015.txt] “从小的教育养成的习惯” | [文件: sub015.txt] “身边的环境父母的教育影响等等” | [文件: sub157.txt] “也可能与传统的家庭教育有关”,"sub015.txt, sub157.txt",早期教育塑造的休息观念; 家庭环境对休息态度的塑造; 传统家庭教育规训,0.858109712600708
高强度学业压力下的自我要求,在持续高压的学业环境中，个体内化了“必须不断努力”的信念，将休息视为对学习责任的背离，进而引发休息时的内疚与不安,3,3,[文件: sub015.txt] “学业压力大” | [文件: sub079.txt] “学习上的压力” | [文件: sub130.txt] “当前的学习情况和学习节奏”,"sub015.txt, sub079.txt, sub130.txt",高强度学业压力下的自我要求; 学业压力内化; 学业进度压力,0.8691085577011108
碎片化工作模式内化,个体因长期处于需随时响应任务（如频繁回复导师）的碎片化工作状态，将“持续待命”视为常态，从而在休息时产生违背惯常行为模式的不适感,1,1,[文件: sub016.txt] 工作科研属性需要经常碎片化回复导师，加上本科琐碎的工作习惯所致。,sub016.txt,碎片化工作模式内化,1.0
家庭经济压力引发的成就焦虑,个体因家庭经济困难而产生急于成功的心理压力，在能力有限的情况下难以达成自我期望，从而在休息时产生自我否定与羞耻感,1,1,[文件: sub020.txt] “大概是我家庭经济困难导致我太急于求成而又能力有限，总是不满意当下的自己”,sub020.txt,家庭经济压力引发的成就焦虑,1.0
休息等同于生命浪费,个体将休息与时间或生命价值的丧失直接挂钩，认为停止工作即是对自身存在价值的否定，从而引发羞耻感,3,3,[文件: sub022.txt] “由此形成的‘休息即浪费’的认知” | [文件: sub023.txt] “大家应该去享受休息，而不是说以休息为耻” | [文件: sub100.txt] “一旦我休息就是在浪费自己的生命，会感到羞耻”,"sub022.txt, sub023.txt, sub100.txt",休息被等同于浪费; 休息价值被否定; 休息等同于生命浪费,0.8916026949882507
时间管理失衡感,个体因未能合理安排工作与休息时间，导致在休息时感到不安或愧疚，认为休息是失控或低效的表现,2,2,[文件: sub023.txt] “合理安排时间就不会有休息羞耻了” | [文件: sub098.txt] “个人对时间的不合理安排”,"sub023.txt, sub098.txt",时间管理失衡感; 时间管理失当,0.8838788270950317
对成果质量的高要求与休闲时间的冲突,个体因对任务最终成果抱有高标准，认为将时间用于休闲会损害成果质量，从而在休息时产生羞耻或不安,1,1,[文件: sub025.txt] “一定程度的懒和拖延吧，但是我又对最后的结果有比较高的要求，因此如果把时间用来休闲，会觉得降低了最后结果的质量”,sub025.txt,对成果质量的高要求与休闲时间的冲突,1.0
被超越的恐惧,个体因担忧他人在自己休息时取得进步或优势，从而产生休息时的不安与羞耻感,2,2,[文件: sub026.txt] “对害怕其他人超过自己的担忧” | [文件: sub155.txt] “一部分是自己内心不甘落后，怕别人超过”,"sub026.txt, sub155.txt",被超越的恐惧; 恐惧被他人超越,0.875566303730011
休息引发的焦虑与恐惧,个体在休息时体验到强烈的焦虑和恐惧情绪，认为休息本身会带来负面后果,2,2,[文件: sub026.txt] “焦虑以及恐惧” | [文件: sub079.txt] “内心焦虑”,"sub026.txt, sub079.txt",休息引发的焦虑与恐惧; 休息引发焦虑反应,0.9217096567153931
早期努力至上教育灌输,个体在成长过程中被反复教导必须将绝大部分时间投入学习，形成“唯有持续努力才有价值”的信念，从而在休息时产生违背该信念的羞耻感,1,1,[文件: sub028.txt] “从小就被要求必须把几乎所有时间都用来学习”,sub028.txt,早期努力至上教育灌输,1.0
努力不足归因倾向,个体将自身不够优秀归因为努力程度不足，导致在休息时产生“本应更努力”的自我责备，进而引发羞耻感,4,5,[文件: sub028.txt] “总是认为自己不够优秀的原因是不够努力” | [文件: sub028.txt] “想到那些比我优秀的人在我休息的时候还在学习” | [文件: sub071.txt] “本身自己对待学习、工作就没有很认真，没有做到全力以赴，所以在有休息的想法的时候会有类似一些负面的评价。” | [文件: sub085.txt] “以及可能与自身比较好强的性格原因” | [文件: sub160.txt] 平常学的也没有很努力，总是在无效学习，所以休息的时候也会觉得自己一直在玩儿,"sub028.txt, sub071.txt, sub085.txt, sub160.txt",努力不足归因倾向; 他人持续努力的想象性比较; 未达自我努力标准; 好胜性格引发的自我苛责; 学习效率低下引发的自我责备,0.8621155023574829
任务未完成时的休息负罪感,当个体感知到自身仍有未完成的工作或学习任务时，认为此时休息是不正当的，从而产生羞耻或内疚情绪,1,1,"[文件: sub029.txt] 在工作或学习任务没有完成的时候,大家都专心致志学习或者复习压力大的时候，会产生休息羞耻",sub029.txt,任务未完成时的休息负罪感,1.0
集体专注氛围下的休息不适,在群体普遍处于高度投入或高压学习/工作状态的情境中，个体因自己休息而感到与集体节奏不一致，从而引发羞耻感,2,2,"[文件: sub029.txt] 在工作或学习任务没有完成的时候,大家都专心致志学习或者复习压力大的时候，会产生休息羞耻 | [文件: sub102.txt] “其次是周围环境，可能觉得身边大家都在学习所以让自己有羞耻感”","sub029.txt, sub102.txt",集体专注氛围下的休息不适; 群体学习氛围的压迫感,0.8520731925964355
自控力与行动力的冲突,个体因理想中应具备的自我控制能力与现实中无法有效行动之间的落差而产生对休息的负面感受,1,1,[文件: sub031.txt] “想象中自己的自控力与实际中自己的行动力相违背”,sub031.txt,自控力与行动力的冲突,1.0
自我期望与能力落差,个体因对自身设定过高目标，而感知到实际努力或能力无法匹配该期望，从而在休息时产生内疚或不安，认为自己不配休息,8,8,"[文件: sub034.txt] “有些对自己期望过高，但是我的努力好像又配不上我的期望” | [文件: sub052.txt] “感觉像优绩主义根深蒂固或者是一直在家里人的期望之下生活，不愿辜负家人的期望” | [文件: sub054.txt] “然后是对自己的压力，对自己一直有很高的期望和要求，如果没有达到会感到很难受” | [文件: sub063.txt] ""过分的关注他人，没有把精力放在自己的身上，人生的赛道上，你才是主角"" | [文件: sub084.txt] “内在认知的偏差” | [文件: sub101.txt] 对于目标既渴望又害怕 | [文件: sub114.txt] “来自各个方面的高要求” | [文件: sub148.txt] “人太懒惰没有人约束，没有完成自己应该做的，导致不好的结果”","sub034.txt, sub052.txt, sub054.txt, sub063.txt, sub084.txt, sub101.txt, sub114.txt, sub148.txt",自我期望与能力落差; 家庭期望压力; 自我高期望引发的休息冲突; 过度关注他人表现; 内在认知偏差; 对目标的矛盾心理; 外部高期望的内化; 未完成应尽责任引发的自我谴责,0.8699823617935181
理想自我与现实自我的冲突,个体在理想状态（如高效、成功）与现实表现（如疲惫、低效）之间存在显著差距，休息被视作现实落后的证据，从而触发负面自我评价,1,1,[文件: sub034.txt] “理想和现实的差距”,sub034.txt,理想自我与现实自我的冲突,1.0
竞争性学习内化,个体将“他人在努力即自己在落后”的竞争逻辑内化为自我要求，导致休息时产生自我谴责,1,1,[文件: sub035.txt] “应试教育后遗症，之前的老师总是强调，自己不学习别人学习等于自己的退步，造成现在停下来就会自己鞭策自己”,sub035.txt,竞争性学习内化,1.0
目标缺失下的时间空洞感,在缺乏自主规划的情况下，课余时间无明确任务，休息被视为无意义的空白，加剧对“浪费时间”的恐惧,1,1,[文件: sub035.txt] “对自己的学习生活缺少规划，按照课表上完课不知道做什么事情”,sub035.txt,目标缺失下的时间空洞感,1.0
同辈卷度焦虑,感知到他人高度投入学习或工作，对比之下将自身休息解读为落后或懈怠，产生相对剥夺感,1,1,[文件: sub035.txt] “又怕别人很卷，而自己只能休息浪费时间”,sub035.txt,同辈卷度焦虑,1.0
教育灌输的时间观,早期教育强调时间必须被“好好利用”，将休息视为对时间的不当使用，从而形成对休息的负面评价,1,1,[文件: sub036.txt] “从小的教育总是会告诉我们要好好利用时间”,sub036.txt,教育灌输的时间观,1.0
非自愿的社会比较倾向,在休息时不由自主地与他人进行成就或行为比较，因感知到他人可能更努力而产生羞耻,2,2,[文件: sub036.txt] “让我不自觉和他人比较，觉得休息可耻” | [文件: sub061.txt] “不自觉和他人比较”,"sub036.txt, sub061.txt",非自愿的社会比较倾向; 无意识的社会比较倾向,0.8611170649528503
制度化时间管理剥夺自主节奏体验,长期处于被课程表和外部安排严格规划的生活节奏中，导致个体丧失对自主安排时间与慢节奏生活的适应能力，一旦脱离计划便产生失控与不适,1,1,[文件: sub037.txt] “初高中开始更是没有体验过慢慢生活的感觉，每天都过着被课程表和其他课程安排好的生活，所以自己一没有计划，二已经无法适应休息和慢节奏生活”,sub037.txt,制度化时间管理剥夺自主节奏体验,1.0
心理困扰驱动的回避性忙碌,因焦虑抑郁等情绪困扰，个体通过持续学习或工作来逃避内在痛苦，将休息等同于直面负面思维，因而对休息产生抗拒与自我否定,1,1,[文件: sub037.txt] “个人因素：焦虑抑郁控制大脑，学习工作代替思考，明知道这样的心态有问题，但依然下定不了决心去改正”,sub037.txt,心理困扰驱动的回避性忙碌,1.0
竞争导向的评价体系,教育或社会环境中以超越他人为核心的评价标准，使人因害怕落后而难以安心休息,1,1,[文件: sub038.txt] “可能是应试教育背景下，评价体系往往不是‘今天我学到了多少’而是‘今天我超过了多少人’，在如此的考核标准下，人人神经紧绷，不敢懈怠。”,sub038.txt,竞争导向的评价体系,1.0
自我规训的思维模式,个体将休息与懈怠对立，认为应严格划分学习与休息时间，并因未能有效控制注意力而产生自我批评,1,1,[文件: sub038.txt] “自己的思想问题，不应该优柔寡断，人要成长，该休息的时候就该休息，该学习的时候就要学习，定时查看消息，而不是守株待兔般神经兮兮，要提高自己的思维能力和信息接受能力”,sub038.txt,自我规训的思维模式,1.0
多重压力叠加,个体感知到来自社会、学业等多方面的压力共同作用，使其难以心安理得地休息，从而产生休息时的不适感,3,3,[文件: sub039.txt] “学业压力” | [文件: sub085.txt] “受社会环境，同辈压力影响较大” | [文件: sub117.txt] “我觉得是现在很多的社会压力，再加上学业的压力，还有自的想法等综合因素”,"sub039.txt, sub085.txt, sub117.txt",学业负担过重; 同辈压力驱动的休息不适; 多重压力叠加,0.8868338465690613
家长期望压力,父母对子女学业或表现的高期望及其持续督促，使个体在休息时产生内疚或焦虑,2,2,[文件: sub039.txt] “父母的督促和他们带来的压力” | [文件: sub104.txt] “家长的希望”,"sub039.txt, sub104.txt",家长期望压力; 家长期望负担,0.9015377759933472
教师权威驱动,教师在学业上的严格要求和持续监督，内化为个体对休息的排斥或不安,1,1,[文件: sub039.txt] “高中时老师的督促”,sub039.txt,教师权威驱动,1.0
自我意志薄弱,个体因缺乏坚定的自我调节能力，在面对休息与任务冲突时难以安心休息,1,1,[文件: sub039.txt] “自己内心的不坚定”,sub039.txt,自我意志薄弱,1.0
担忧学业落后,个体因担心在学业进度或成绩上被他人超越，从而在休息时产生羞耻或不安感,1,1,[文件: sub041.txt] 害怕自己学习落后,sub041.txt,担忧学业落后,1.0
恐惧休息行为本身,个体对“休息”这一行为本身产生恐惧，认为其具有负面后果，进而引发羞耻体验,1,1,[文件: sub041.txt] 害怕自己休息,sub041.txt,恐惧休息行为本身,1.0
感知他人隐性竞争,个体察觉到他人在看似平静的环境中仍在努力（如“内卷”），从而在休息时感到自己处于不利地位,1,1,[文件: sub041.txt] 别人在悄悄内卷,sub041.txt,感知他人隐性竞争,1.0
担忧被群体远远抛下,个体因害怕在竞争中大幅落后于同辈群体，产生强烈的被抛弃感，导致无法安心休息,1,1,[文件: sub041.txt] 自己会被甩的很远,sub041.txt,担忧被群体远远抛下,1.0
生产力至上价值观,社会将个人价值与生产性劳动紧密挂钩，使个体认为休息等同于懒惰，从而产生羞耻感,1,1,[文件: sub042.txt] “首先是社会整体的‘productivity 至上’观念，将个人价值与生产性劳动深度绑定，休息被视为懒惰的表现”,sub042.txt,生产力至上价值观,1.0
自我提升义务感,个体内化了必须持续自我优化的信念，认为未用于提升的时间（如休息）是失职，从而产生负罪与羞耻,1,1,[文件: sub042.txt] “还有个人对自我的高要求，总觉得应该把时间都用来提升自己，从而对休息产生负罪感”,sub042.txt,自我提升义务感,1.0
就业市场竞争激烈,个体因就业机会稀缺、求职难度大而感到必须持续努力，无法安心休息,2,2,[文件: sub044.txt] 就业紧张 | [文件: sub100.txt] “社会的就业压力，即使是985高材生毕业仍旧找不到工作”,"sub044.txt, sub100.txt",就业市场竞争激烈; 就业市场焦虑,0.8899754881858826
学历价值下降,个体感知到高学历不再能保障竞争优势，从而加剧努力压力，削弱休息合理性,1,1,[文件: sub044.txt] 学历贬值,sub044.txt,学历价值下降,1.0
同辈群体的竞争氛围,来自同龄人或同行群体的竞争压力，使个体将休息视为懈怠，担心在群体中处于劣势，从而对休息产生负面情绪,4,4,[文件: sub044.txt] 社会压力大 | [文件: sub061.txt] “同辈竞争压力等” | [文件: sub062.txt] “从大环境上来说是社会竞争过于激烈，内卷无时无刻不在发生” | [文件: sub157.txt] “或者社会大众心理”,"sub044.txt, sub061.txt, sub062.txt, sub157.txt",社会整体压力氛围; 同辈群体的竞争氛围; 社会竞争压力; 社会大众心理氛围,0.8762836456298828
同辈竞争性参照,在观察到同龄人（如“内卷的同学”）持续投入努力时，个体因自身休息行为与他人形成对比而感到落后或不合群，诱发羞耻,5,5,[文件: sub044.txt] 周围人都在卷 | [文件: sub097.txt] “同龄人的内卷，更会加剧自己休息的愧疚和焦虑” | [文件: sub136.txt] “社会压力 内卷？” | [文件: sub140.txt] “内卷的同学” | [文件: sub152.txt] “再就是日益内卷的当下，同辈压力和就业压力日益增长社会大环境让我有一种不多努力比不过同辈就很难有出路的心态，从而要pua自己多努力才能把握主动权。”,"sub044.txt, sub097.txt, sub136.txt, sub140.txt, sub152.txt",同辈竞争性行为普遍; 同辈竞争引发的休息愧疚; 社会竞争氛围内化; 同辈竞争性参照; 同辈竞争驱动的自我压榨,0.8727390170097351
生活节奏过快,快速的生活与工作节奏使个体难以找到合理休息的时间窗口，休息被视为对效率的背离,1,1,[文件: sub044.txt] 快节奏的生活方式,sub044.txt,生活节奏过快,1.0
长期高压习惯化,个体因长期处于高强度学习或工作状态（如从高中起持续紧绷），将“不停歇”内化为行为规范，导致休息被视为对既有节奏的违背而引发不适。,1,1,[文件: sub048.txt] “加上从高中以来一刻不敢休息”,sub048.txt,长期高压习惯化,1.0
自我成就压力,个体因设定极高的学业或成就目标（如绩点排名、转专业成功）而产生的持续压力，导致在未达成目标前难以心安理得地休息,1,1,[文件: sub049.txt] “我对我自己的高要求，我想要绩点第一至少前十，我需要转专业 但是我没有一定的把握，好累。”,sub049.txt,自我成就压力,1.0
心理健康价值被忽视,社会普遍不重视心理健康，导致个体无法正当化休息需求，进而产生羞耻感,1,1,[文件: sub051.txt] “对人心理健康的忽视”,sub051.txt,心理健康价值被忽视,1.0
目标与能力失衡引发的时间侵占,个体因设定较高目标与野心，但受限于拖延、低效等行为习惯，导致任务无法在正常工作学习时段完成，被迫挤占休息时间，从而产生休息时的愧疚或不适,1,1,[文件: sub053.txt] “有一定的目标和野心，但是拖延症和一些不良的习惯（比如说安排时间不合理，效率低下，专注力低等）导致时间安排不合理，造成正常工作学习时间不能全部事情，拖延到休息时间。”,sub053.txt,目标与能力失衡引发的时间侵占,1.0
同侪努力引发的休息不适,个体因观察到同事或同龄人持续努力工作，产生自己不应休息的内疚感或压力，从而导致休息时产生羞耻或不安,1,1,[文件: sub054.txt] “可能是来自同僚的压力，他们的努力让我感到自己不应该休息”,sub054.txt,同侪努力引发的休息不适,1.0
重要他人期望压力,来自家庭成员和周围人的高期待使个体感到休息是对他人期望的辜负,2,2,[文件: sub056.txt] “家里人身边人的期望又很多” | [文件: sub161.txt] “个人感觉焦虑来自于父母和伴侣等亲近之人的高期待”,"sub056.txt, sub161.txt",重要他人期望压力; 重要他人高期待压力,0.8874648809432983
同辈努力参照,观察到同龄人持续努力的状态，使个体在休息时产生落后或懈怠的负罪感,3,3,[文件: sub056.txt] “其他同龄人又一直在努力” | [文件: sub066.txt] “同龄人竞争压力，比如同专业同学在图书馆努力学习，你却在休息，就有了休息羞耻” | [文件: sub127.txt] 看见身边人在非常努力,"sub056.txt, sub066.txt, sub127.txt",同辈努力参照; 同辈学业努力对比; 观察他人努力引发的相对懈怠感,0.8539061546325684
社会焦虑氛围渗透,社会层面弥漫的普遍焦虑情绪被个体内化，导致休息被视为危险或不合时宜的行为,1,1,[文件: sub056.txt] “社会层面又一直存在各种类型的焦虑风气，让人免不了一直对各方面都焦虑”,sub056.txt,社会焦虑氛围渗透,1.0
机构文化强调自律与进取,所在高校或组织推崇持续努力、自我约束的文化氛围，使个体将休息视为违背主流价值观的行为，进而产生不适,1,1,[文件: sub057.txt] “山大自律向上的氛围”,sub057.txt,机构文化强调自律与进取,1.0
教育中缺乏对休闲正当性的认可,个体在成长过程中未被教导休闲是日常生活中的正当组成部分，反而被灌输只有努力、学习和工作才是“正事”，从而在休息时产生羞耻感,1,1,[文件: sub058.txt] “从小接受的教育观念，没有被教一天就应该有多长的时间是属于自己的娱乐休闲的，只被教要努力，要学习，要工作，这些才是正事。”,sub058.txt,教育中缺乏对休闲正当性的认可,1.0
早期愧疚导向的教养方式,个体在成长过程中被反复灌输“休息即懒惰”或“不努力就对不起他人”的观念，导致将休息与道德过失关联，从而在休息时产生羞耻感,1,1,[文件: sub060.txt] “从小的愧疚教育”,sub060.txt,早期愧疚导向的教养方式,1.0
对他人负面评价的恐惧,担心在休息时被他人视为懒惰、不努力或缺乏上进心，因预判社会贬低而回避休息或在休息中感到羞耻,2,2,[文件: sub060.txt] “害怕别人鄙夷的眼光” | [文件: sub104.txt] “旁人想看笑话的眼神”,"sub060.txt, sub104.txt",对他人负面评价的恐惧; 他人审视恐惧,0.8726990222930908
内耗型思维模式,个体习惯于反复审视自身行为与状态，在休息时因无法停止自我质疑和反思而产生心理负担,1,1,[文件: sub062.txt] “形成了爱内耗的心态”,sub062.txt,内耗型思维模式,1.0
资本主义社会对人的异化,在资本主义制度下，个体被工具化，其价值被简化为生产力或经济贡献，导致个体在无法持续产出时产生自我否定与羞耻感，从而在休息时感到不适,1,1,[文件: sub064.txt] “因为资本主义社会对人的异化”,sub064.txt,资本主义社会对人的异化,1.0
价值条件化的教育影响,长期接受“只有通过努力、产出或成就才能获得价值认可”的教育观念，使个体将自我价值与行为表现绑定，休息被视为无价值状态，因而引发羞耻感,2,2,"[文件: sub064.txt] “是因为长期以来价值条件化的教育导致的” | [文件: sub168.txt] ""从小的教育环境传递出的信号，内卷与优绩主义的社会文化，用是否有用来衡量自己的一切行为""","sub064.txt, sub168.txt",价值条件化的教育影响; 教育环境传递的功利价值观,0.8680915832519531
社会内卷与经济不安全感,社会高度竞争（内卷）和经济环境恶化使个体对工作、生活和财务缺乏稳定预期，从而在休息时产生不安与羞耻感,1,1,[文件: sub065.txt] “当下社会的内卷化严重，经济形势不容乐观，导致人们对自己的工作，生活，经济等方面没有足够的安全感”,sub065.txt,社会内卷与经济不安全感,1.0
自我成长期待冲突,个体内心渴望休息，但同时又强烈期望自我持续进步，导致休息时产生心理冲突,1,1,[文件: sub067.txt] “一方面是自己无法与内心互恰，其实自己是渴望休息的，但是自己的内心又希望自己能变得越来越优秀，不希望自己停止不前”,sub067.txt,自我成长期待冲突,1.0
家庭优先学习理念灌输,家庭长期向个体传递“学习永远优先”的价值观，使个体将休息视为对学习的背离，从而产生羞耻感。,1,1,[文件: sub068.txt] “家长灌输的理念是无论何时学习一定首位”,sub068.txt,家庭优先学习理念灌输,1.0
学校内卷化学习氛围,学校环境中普遍存在的过度竞争和高强度学习压力，使个体在休息时感到与环境格格不入，进而引发羞耻体验。,1,1,[文件: sub068.txt] “学校的学习氛围内卷化严重”,sub068.txt,学校内卷化学习氛围,1.0
早期习惯内化,个体在成长过程中形成的以学习为中心的生活与学习习惯，使其将休息视为异常或不当行为，从而在休息时产生不适与羞耻。,2,2,[文件: sub068.txt] “从小养成的生活习惯和学习习惯……都会造成休息羞耻的现象” | [文件: sub080.txt] “从小被灌输的理念”,"sub068.txt, sub080.txt",早期习惯内化; 早期价值观内化,0.8767555356025696
高压环境下的自动化思维,在长期高压学习环境中形成的不自主思维模式，使个体在休息时自动产生“应该学习”的念头，进而引发羞耻感。,1,1,[文件: sub068.txt] “在这种高压的学习环境下不自主的想法，都会造成休息羞耻的现象”,sub068.txt,高压环境下的自动化思维,1.0
社会结构驱动的内卷压力,当前社会的组织架构促使个体陷入普遍的过度竞争状态，从而引发对落后的恐惧和持续比较，导致个体难以安心休息,1,1,[文件: sub069.txt] “当前社会的组织架构造成了人人‘内卷’的情况，人们会不自主的进行比较、担心自己落后于他人。”,sub069.txt,社会结构驱动的内卷压力,1.0
焦虑敏感的个体特质,个体因自身性格中对焦虑高度敏感，导致在休息时更容易产生不安与自我责备，从而引发休息羞耻,1,1,[文件: sub073.txt] “自身焦虑敏感的性格”,sub073.txt,焦虑敏感的个体特质,1.0
