编码名称,编码定义,来源文件数量,总出现次数,具体语句汇总,涉及文件,被合并的原始编码,代表性评分
应试教育塑造的行为惯性,长期接受以效率和产出为导向的学校教育，形成难以主动休息的条件反射式行为模式，休息被视为异常状态,2,2,[文件: sub073.txt] “十二年学校教育带来的习惯性” | [文件: sub154.txt] “可能也有一些高中时应试教育的习惯残留”,"sub073.txt, sub154.txt",应试教育塑造的行为惯性; 应试教育惯性,0.8759126663208008
过度关注他人状态,个体因过度留意他人的行为或状态，忽视自身需求，从而在休息时产生不适或羞耻感,2,2,[文件: sub075.txt] “太关注别人，而没有做好自己” | [文件: sub129.txt] “对周围的事物过于关注”,"sub075.txt, sub129.txt",过度关注他人状态; 过度关注外部评价,0.8724817633628845
自我敏感性过高,个体对自身状态或外界评价过度敏感，导致在休息时难以放松并产生负面自我评价,1,1,[文件: sub075.txt] “太敏感”,sub075.txt,自我敏感性过高,1.0
未来目标模糊,个体因缺乏清晰的未来规划，在休息时感到迷茫或浪费时间，进而引发羞耻感,1,1,[文件: sub075.txt] “对自己未来的规划不清晰”,sub075.txt,未来目标模糊,1.0
奋斗价值观的文化传承,源于中华民族长期推崇并代际传递的“奋斗”文化价值观，使个体将休息视为对主流价值的背离，从而产生羞耻感,1,1,[文件: sub077.txt] 我们民族从古至今的“奋斗”价值观，这是我们所有人普遍存在的，代代相传。,sub077.txt,奋斗价值观的文化传承,1.0
群体压力氛围,个体因所处环境中他人普遍处于高压状态而感到休息不合时宜，从而产生羞耻感,1,1,[文件: sub078.txt] “同学们的压力”,sub078.txt,群体压力氛围,1.0
社会生活节奏压迫感,整体生活环境所呈现的紧张节奏使个体将休息视为对主流节奏的背离，进而产生不适,1,1,[文件: sub078.txt] “生活氛围”,sub078.txt,社会生活节奏压迫感,1.0
升学目标驱动压力,个体因强烈渴望进入更高层次的学习平台而持续处于目标驱动状态，休息被视为对目标的背离，进而引发羞耻感,1,1,[文件: sub079.txt] “渴望更高的学习平台”,sub079.txt,升学目标驱动压力,1.0
理想自我与现实行为的落差,个体持有“应始终高效或 productive”的理想标准，当实际选择休息时，因行为与理想不符而产生内疚或羞耻,1,1,[文件: sub080.txt] “现实和理想的冲突”,sub080.txt,理想自我与现实行为的落差,1.0
自动化负面思维模式,长期形成的思维惯性使个体在休息时自动触发自我批评，将休息等同于懒惰或失败，无需外部刺激即可引发羞耻体验,1,1,[文件: sub080.txt] “心理习惯”,sub080.txt,自动化负面思维模式,1.0
社会攀比压力,个体因与他人比较休息状态而产生羞耻感，认为他人更努力或自己不应休息,2,2,[文件: sub081.txt] “与别人的攀比心” | [文件: sub166.txt] “容易和别人进行对比，产生不同的心理感受，影响自己。”,"sub081.txt, sub166.txt",社会攀比压力; 他人比较引发的心理失衡,0.8761537671089172
弥漫性焦虑氛围,环境中持续存在的焦虑情绪被内化，使个体在休息时感到不安,1,1,[文件: sub081.txt] “时不时不的焦虑”,sub081.txt,弥漫性焦虑氛围,1.0
亲密关系中的价值评判,与朋友交流时隐含的对休息的负面评价或对生产力的强调，引发休息时的自我怀疑,1,1,[文件: sub081.txt] “朋友的交心聊天”,sub081.txt,亲密关系中的价值评判,1.0
家庭权威的期望压力,家人或长辈对勤奋、努力的强调，使个体将休息视为违背家庭期待的行为,1,1,[文件: sub081.txt] “家人长辈的要求”,sub081.txt,家庭权威的期望压力,1.0
教育者传递的绩效焦虑,教师通过言语或行为传递对效率和产出的过度重视，导致学生将休息等同于懈怠,1,1,[文件: sub081.txt] “老师传播的焦虑”,sub081.txt,教育者传递的绩效焦虑,1.0
高压教养模式,父母强调结果导向、完美主义或施加高压，使个体内化“必须高效产出”的信念，从而在休息时产生违背家庭期待的羞耻感,1,1,[文件: sub082.txt] “父母的教育方式（高压、结果论、完美主义）”,sub082.txt,高压教养模式,1.0
成就导向型人格特质,个体具有强烈的好胜心、嫉妒倾向或自卑感，使其将休息视为落后于他人的表现，从而引发自我否定,1,1,[文件: sub082.txt] “个人性格（好胜心、嫉妒、自卑）”,sub082.txt,成就导向型人格特质,1.0
目标紧迫性感知,个体设定的目标具有高紧急性或严格截止期限，休息被感知为对目标进度的威胁，进而引发焦虑与自责,2,2,[文件: sub082.txt] “个人目标（可实现度、截止时间的紧急度）” | [文件: sub111.txt] “时间的紧促”,"sub082.txt, sub111.txt",目标紧迫性感知; 时间紧迫感,0.8536190986633301
计划秩序破坏敏感,个体对日常计划的稳定性高度依赖，非计划内的休息被视为对内在秩序的扰乱，引发失控感与慌乱,1,1,[文件: sub082.txt] “打乱原本计划的休息让我原本的秩序受到了破坏，不喜欢失控和完不成原本正事的慌乱”,sub082.txt,计划秩序破坏敏感,1.0
效率至上信念,个体认为时间应优先用于推进目标，休息若非必要即属“多余”，因其减缓目标实现速度而被视为低效甚至浪费，从而产生自我批评,1,1,[文件: sub082.txt] “原定目标虽然可以实现，但是休息会减慢实现的过程，所以有时会不喜欢多余的休息，认为自己这时间可以拿来努力”,sub082.txt,效率至上信念,1.0
竞争压力下的自我不足感,个体因感知到激烈的社会竞争环境，担心自身能力或努力不足而失去竞争优势，从而产生不敢休息的心理,1,1,[文件: sub083.txt] “社会太卷了，不卷连和别人竞争的机会都没有，所以就不敢休息，总是觉得自己还不够。”,sub083.txt,竞争压力下的自我不足感,1.0
外部比较压力,个体在休息时因感知到他人未休息或更努力而产生被比较的压力，从而引发羞耻感,1,1,[文件: sub084.txt] “外部环境的比较压力”,sub084.txt,外部比较压力,1.0
职场与校园文化规训,所处的组织或教育环境推崇持续奋斗、贬低休息，使个体内化“不应休息”的规范而感到羞耻,1,1,[文件: sub084.txt] “职场与校园文化的影响”,sub084.txt,职场与校园文化规训,1.0
技术加速带来的紧迫感,互联网与人工智能等技术快速发展，使个体感受到时间被压缩、节奏被迫加快，从而在休息时产生落后于时代的焦虑,1,1,[文件: sub086.txt] “生产力发展，互联网和AI技术的发展”,sub086.txt,技术加速带来的紧迫感,1.0
生存与生活压力的内化,日常生活中的经济、职业或家庭压力被个体内化为必须持续努力的义务，导致休息被视为对责任的逃避,1,1,[文件: sub086.txt] “生活的压力”,sub086.txt,生存与生活压力的内化,1.0
他人评价的过度关注,个体高度在意他人如何看待自己的行为，尤其在休息时担心被评判为懒惰或不努力，从而产生羞耻感,1,1,[文件: sub086.txt] “对他人看法的在意”,sub086.txt,他人评价的过度关注,1.0
幸福观的绩效化倾向,将幸福与成就、阶段性胜利绑定，认为只有通过不断奋斗才能获得价值感，使休息因缺乏“产出”而显得无意义甚至可耻,1,1,[文件: sub086.txt] “对幸福的追求（当然这种追求时常导致陷入痛苦，但获得阶段性胜利时确实很幸福）”,sub086.txt,幸福观的绩效化倾向,1.0
多源压力驱动的应然自我期待,个体因来自社会、学校、家庭等多重外部压力，内化出“应当持续努力”的自我要求，从而在休息时产生违背该期待的不适感,1,1,[文件: sub087.txt] “我认为是当前社会，学校，家庭等多方面的压力，让我觉得自己应该努力。”,sub087.txt,多源压力驱动的应然自我期待,1.0
自我设定目标未达成引发的内疚,个体因主动设立高期望或任务目标却未能完成，从而在休息时产生自我责备与不适感,1,1,[文件: sub088.txt] “可能是本身的好胜心，自己喜欢给自己立flag但总是完成不了。”,sub088.txt,自我设定目标未达成引发的内疚,1.0
代际劳动榜样内化,个体因父母长期持续劳动的行为被内化为行为标准，导致自身休息时因与父母的辛劳形成对比而产生不适感,1,1,[文件: sub089.txt] 父母总是一天到晚劳动个不停，自己休息父母操劳形成反差会难受。,sub089.txt,代际劳动榜样内化,1.0
个人要强性格,个体自身具有追求完美、不甘落后或自我要求过高的性格特质，导致其难以接受休息行为，认为休息等同于软弱或失败,1,1,[文件: sub090.txt] “自己本身要强的性格”,sub090.txt,个人要强性格,1.0
时间经济化观念,将时间视为可量化经济资源的文化观念，使休息被等同于浪费金钱，从而引发羞耻,1,1,[文件: sub092.txt] “而且还受到时间就是金钱这种文化的影响”,sub092.txt,时间经济化观念,1.0
勤劳美德内化,社会文化中“天道酬勤”等观念被个体深度内化，使休息被视为懒惰或道德缺陷，从而引发羞耻感,1,1,[文件: sub093.txt] “社会文化与价值观的深层塑造（‘天道酬勤’的集体潜意识）”,sub093.txt,勤劳美德内化,1.0
制度性过劳常态化,现代工作与教育体系将持续高效运转视为常态，个体在制度压力下将休息视为对系统规则的违背，产生不适,1,1,[文件: sub093.txt] “现代工作与教育体系的强化（‘永不停转’的机器）”,sub093.txt,制度性过劳常态化,1.0
社会成功话语对休息的污名化,社会主流价值观将努力拼搏与成功绑定，将休息等同于懒惰，从而使人因休息而感到羞耻,1,1,[文件: sub095.txt] “社会价值影响，大家都说爱拼才会赢，时间就是金钱而休息就浅浅被称为懒惰的代名词。”,sub095.txt,社会成功话语对休息的污名化,1.0
教育环境强调持续学习,长期接受以不断学习为核心价值的教育理念，使个体将休息视为对学习义务的背离，从而产生羞耻感,1,1,[文件: sub096.txt] “可能是从小到大的教育，可能是整个氛围的内卷，需要不停地学习。”,sub096.txt,教育环境强调持续学习,1.0
高压环境下的休息无效感,个体在工作、学习和生活多重压力下，认为休息无法真正缓解焦虑，从而对休息产生怀疑和抵触，引发羞耻感,1,1,[文件: sub097.txt] “工作、学习、生活的压力，带来休息无法缓解的焦虑感”,sub097.txt,高压环境下的休息无效感,1.0
广泛性焦虑倾向,个体存在持续性的担忧和紧张心理状态，使休息难以被体验为放松，反而引发对失控或落后的恐惧,1,1,[文件: sub098.txt] “广泛性焦虑”,sub098.txt,广泛性焦虑倾向,1.0
内卷环境引发的竞争压力,在高度竞争的学业或社会环境中，个体因持续的内卷现象而产生下意识的心理压力和与他人比较的竞争心态，从而在休息时感到羞耻,1,1,[文件: sub099.txt] “大学生不断内卷现状引起下意识的心理压力和竞争心理，造成休息羞耻”,sub099.txt,内卷环境引发的竞争压力,1.0
前途不确定性忧虑,对个人未来发展路径的不确定感强化了“必须持续努力”的信念，使休息被视为懈怠,1,1,[文件: sub103.txt] “对前途的忧虑”,sub103.txt,前途不确定性忧虑,1.0
资源稀缺引发的生存焦虑,由于资源有限、供需失衡等结构性问题，个体将休息视为对生存机会的浪费，进而产生休息即懈怠的负罪感,1,1,[文件: sub106.txt] “供需不平衡资源紧缺等问题导致的生存需求”,sub106.txt,资源稀缺引发的生存焦虑,1.0
感知他人努力压力,个体在休息时因察觉到他人正在努力学习或工作而产生心理压力，从而引发对自身休息行为的负面评价,2,2,[文件: sub108.txt] “同样时间接收到他人在努力学习的信号” | [文件: sub132.txt] “他人的优秀以及努力”,"sub108.txt, sub132.txt",感知他人努力压力; 他人成就压力,0.8571933507919312
不切实际的任务目标,设定在特定时间内必须完成过高或不现实的任务量，使个体因无法实现目标而否定休息的正当性,1,1,[文件: sub108.txt] “完美主义在一定时间内要达到一定的任务（可能这个任务过高）”,sub108.txt,不切实际的任务目标,1.0
对未来后果的灾难化预期,个体因担忧当前未完成事项可能引发严重且长期的负面后果，从而在休息时产生焦虑与不安，导致难以安心休息,1,1,[文件: sub110.txt] 网络制造的焦虑，和对未来的未知感，担心自己有哪个事情没做好会有比较严重和长远的影响,sub110.txt,对未来后果的灾难化预期,1.0
任务完成不确定性,个体因无法确认任务是否真正完成或达标，担心休息意味着懈怠或失责，从而对休息产生心理负担,1,1,[文件: sub111.txt] “对任务是否真正完成的担心”,sub111.txt,任务完成不确定性,1.0
权威人物的价值观内化,个体在成长过程中长期接受来自教师和父母关于“勤奋优于休息”的价值灌输，将休息视为懈怠，进而内化为自我评判标准,1,1,[文件: sub112.txt] “从小到大老师和父母的思想灌输”,sub112.txt,权威人物的价值观内化,1.0
努力与疲惫的内在冲突,个体在渴望努力与身体/心理疲惫之间产生矛盾，因无法持续投入而对休息产生愧疚感,1,1,[文件: sub113.txt] “卷又卷不动躺又躺不平，想努力，但是又觉得太累，不想努力又觉得对不起自己。”,sub113.txt,努力与疲惫的内在冲突,1.0
未来不确定性驱动的过度准备,因对前途缺乏清晰方向而产生焦虑，进而通过持续学习或工作来缓解不安，将休息视为对不确定未来的消极应对，从而引发羞耻感,1,1,[文件: sub114.txt] “对于前途的迷茫让自己不得不多学一些”,sub114.txt,未来不确定性驱动的过度准备,1.0
应试教育内化的竞争焦虑,长期接受以竞争和成绩为导向的应试教育，使个体内化“不努力即落后”的信念，从而在休息时产生落后于他人的焦虑感,1,1,[文件: sub120.txt] 从小的应试教育，导致中国学生总有一种不努力会落后的感觉,sub120.txt,应试教育内化的竞争焦虑,1.0
就业压力驱动的群体比较,在就业困难与普遍加班的社会环境下，个体通过观察他人持续努力的状态，产生“若不持续工作就会被淘汰”的危机感，进而对休息感到不安,1,1,[文件: sub120.txt] 时代原因，现在工作找不到，加班严重，会觉得别人都在努力，自己不努力就完了,sub120.txt,就业压力驱动的群体比较,1.0
经济独立紧迫感,因缺乏家庭经济支持，个体感受到必须尽快实现经济自立的压力，导致休息被视为耽误谋生或积累资源的奢侈行为,1,1,[文件: sub120.txt] 家庭背景，无足够支持，需要赶紧经济独立,sub120.txt,经济独立紧迫感,1.0
教育灌输的效率至上观念,个体在成长过程中被教育者反复灌输“时间必须用于学习或 productive 活动”的观念，导致将休息视为浪费时间的行为，从而产生羞耻感,1,1,[文件: sub122.txt] 从小到大所受到的教育，老师们的言论会告诉我们休息时间应该做题而不是去干别的她们眼中无聊的事情浪费时间,sub122.txt,教育灌输的效率至上观念,1.0
现实压力驱动的自我规训,个体因面临紧迫的现实任务（如毕业、就业、升学）而内化一种“未完成任务即无权休息”的自我约束逻辑，从而在未达成目标时产生不应休息的羞耻感。,1,1,[文件: sub124.txt] “通常是社会的压力吧，压力太大。就是现实中的一些因素，比如说马上就要毕业了，工作问题或者是考研上岸的问题，这些现实的问题导致了就是自己没有达到今日的学习任务的话，就会觉得自己不应该休息。”,sub124.txt,现实压力驱动的自我规训,1.0
自我定位模糊,个体因缺乏清晰的自我认知与目标感，在休息时产生不安与羞耻，源于对“应做什么”的不确定,1,1,[文件: sub125.txt] “没有清晰地意识到自己该做什么，要做什么，对自己没有清晰的定位。很迷茫，我现在真的很迷茫。”,sub125.txt,自我定位模糊,1.0
就业导向的教育压力,教育体系或社会将高学历工具化为就业手段，迫使不适宜科研者进入学术路径，间接强化休息即懈怠的认知,1,1,[文件: sub125.txt] “我上课的时候，老师说他有一个普通的学生，读硕士是为了就业。我就在想，逼着不擅长科研的人去读硕读博，是这个大环境的错误。”,sub125.txt,就业导向的教育压力,1.0
被动卷入竞争环境,个体在高度内卷的社会氛围中，非自愿地被裹挟进持续竞争状态，导致休息被视为脱离竞争的“失职”行为,1,1,[文件: sub125.txt] “社会的就业压力真的好大。内卷太严重了，不自主的就会让自己陷入内卷的漩涡。”,sub125.txt,被动卷入竞争环境,1.0
同伴成就引发的自我贬抑,在休息时因联想到他人成就而进行不利自我比较，产生“不如他人努力”的羞耻感，削弱休息正当性,2,2,[文件: sub125.txt] “我有时候在想，我应该去恭喜我的好朋友获得很好的成绩，又在自己暗暗算着为什么自己不好。自己卷自己。所以休息的时候也很难受。” | [文件: sub148.txt] “看到别人的成功产生了对照”,"sub125.txt, sub148.txt",同伴成就引发的自我贬抑; 他人成就引发的不利自我对照,0.8959084153175354
未完成重要事务的自我责备,个体因意识到存在比休息更优先或更重要的任务尚未完成，从而在休息时产生内疚或自责，认为自己不配休息,1,1,[文件: sub127.txt] 意识到自己有比休息更重要的事但是没去完成,sub127.txt,未完成重要事务的自我责备,1.0
竞争性评价体系压力,社会或环境过度依赖成绩、奖项等外在指标评价个体价值，导致个体因担心落后而难以安心休息,1,1,[文件: sub128.txt] “现在的环境太过卷了，而且很多东西就是要看你的成绩也好或者看你的奖项，一旦落后于他人，在竞争中就可能会失去优势”,sub128.txt,竞争性评价体系压力,1.0
同伴内卷氛围引发的归因偏差,个体在高度竞争的同伴环境中，将学业表现不佳归因为休息或学习时间不足，而非方法问题，从而对休息产生负面评价,1,1,[文件: sub131.txt] “我觉得是因为我现在身边的朋友都太内卷了，如果我成绩不好，我就会下意识的将原因归结到学习时间不够，而不是学习方法不对。”,sub131.txt,同伴内卷氛围引发的归因偏差,1.0
思维反刍倾向,个体具有容易陷入反复思考、自我批评的性格特质，在休息时无法停止对任务或不足的担忧，加剧休息时的负面体验,1,1,[文件: sub132.txt] “容易内耗的性格”,sub132.txt,思维反刍倾向,1.0
内在价值冲突,个体内部存在追求上进与渴望放松两种相互冲突的价值取向，这种自我分裂的矛盾感引发对休息的羞耻体验,1,1,[文件: sub133.txt] “我认为是自己的两个小人在打架，一个积极上进的小人，一个让自己放松娱乐的小人，是这种矛盾感产生了休息羞耻”,sub133.txt,内在价值冲突,1.0
同伴学习行为引发的焦虑,在校园环境中，观察到他人持续学习的行为会引发个体对自己休息行为的不安与自我质疑,1,1,[文件: sub135.txt] “从校园氛围来说，同学间的竞争很直观，看到别人学习就会焦虑自己休息”,sub135.txt,同伴学习行为引发的焦虑,1.0
成功焦虑驱动的自我监控,个体因担忧休息会阻碍个人发展，将持续忙碌视为进步的唯一标志，从而对休息产生负罪感,1,1,[文件: sub135.txt] “还有我们自身对‘成功’的焦虑，总怕休息会影响自己的发展，觉得只有一直忙碌才能证明自己在进步”,sub135.txt,成功焦虑驱动的自我监控,1.0
生存压力加剧,个体因经济下行和生活成本上升而感受到更强的生存紧迫感，认为必须持续工作以维持生计，从而对休息产生愧疚或不安,1,1,[文件: sub136.txt] “经济大环境有下行趋势，生存压力变大”,sub136.txt,生存压力加剧,1.0
休闲活动的时间消耗感,个体意识到娱乐选择增多且容易过度投入，导致休息被感知为时间浪费，进而引发对休息的负面评价,1,1,[文件: sub136.txt] “娱乐的选择变多，而且很容易花费很多时间在‘休息’上”,sub136.txt,休闲活动的时间消耗感,1.0
填鸭式教育经历,个体在成长过程中长期接受以灌输和高压为特征的教育方式，导致其内化了“必须持续学习或产出才有价值”的信念，从而在休息时产生不适感,1,1,[文件: sub137.txt] “我觉得从小就是填鸭式教育，并且家长并会给予督促，只会让大家都感到非常的不舒服”,sub137.txt,填鸭式教育经历,1.0
效率至上价值观,将高效产出视为核心价值，认为休息是低效或浪费时间的行为，从而在休息时产生负面体验,1,1,[文件: sub138.txt] “效率至上的价值观”,sub138.txt,效率至上价值观,1.0
自我提升的迫切需求,个体出于强烈渴望进步或成功的心理动机，在休息时因未能推进目标而产生不适感,1,1,[文件: sub141.txt] “想进步的心理”,sub141.txt,自我提升的迫切需求,1.0
同伴行为带来的隐性压力,个体在休息时意识到周围人仍在努力，因他人行为形成的无形规范而感到休息是懈怠或不被允许的,1,1,[文件: sub141.txt] “周围人的无形压力”,sub141.txt,同伴行为带来的隐性压力,1.0
成就导向驱动的自我要求,个体因强烈渴望成长、进步与超越自我，将休息视为对目标追求的阻碍，从而产生羞耻感,1,1,[文件: sub142.txt] “对成长，进步，超越的渴望”,sub142.txt,成就导向驱动的自我要求,1.0
内卷环境下的行为惯性,在高度竞争的环境中长期处于持续奋斗状态，形成难以切换至放松状态的行为与心理惯性，导致休息时产生不适与羞耻,1,1,[文件: sub142.txt] “在内卷大环境下习惯了马不停蹄前进后难以适应放松的感觉”,sub142.txt,内卷环境下的行为惯性,1.0
工作压力引发的休息冲突,高强度工作压力使个体将休息感知为对责任的逃避，从而在尝试休息时产生负面情绪与羞耻体验,1,1,[文件: sub142.txt] “工作上的压力”,sub142.txt,工作压力引发的休息冲突,1.0
卷躺两难困境,个体陷入“内卷”与“躺平”之间的矛盾状态，既无法有效参与高强度竞争，又难以安心休息，导致对休息产生负面情绪。,1,1,[文件: sub146.txt] “属于卷卷不过，躺躺不平”,sub146.txt,卷躺两难困境,1.0
能力与期望不匹配,个体实际能力处于中等水平，却仍抱有较高成就期待，这种落差使其认为自己不配休息，从而产生羞耻感。,1,1,[文件: sub146.txt] “能力中等任然心存幻想”,sub146.txt,能力与期望不匹配,1.0
自我行为不一致引发的内疚,个体因自身存在拖延、懒散等与理想自我或社会期待不符的行为习惯，在休息时产生自我批评与内疚感，从而导致休息羞耻,1,1,[文件: sub147.txt] “自身的拖延症，以及生活中言行不一的坏习惯，多数时间过于懒散。”,sub147.txt,自我行为不一致引发的内疚,1.0
竞争环境下的休息污名化,在高度竞争的环境中，休息被视为软弱或懈怠的表现，导致个体因休息而感到羞耻,1,1,[文件: sub149.txt] “竞争……造成了休息羞耻症”,sub149.txt,竞争环境下的休息污名化,1.0
功利主义价值观影响,社会或个体将休息视为无产出、无价值的行为，认为只有持续工作或学习才具有意义，从而在休息时产生羞耻感,3,3,[文件: sub149.txt] “功利观念……造成了休息羞耻症” | [文件: sub157.txt] “功利主义或者一些优绩主义？” | [文件: sub159.txt] “社会功利文化”,"sub149.txt, sub157.txt, sub159.txt",功利主义价值观对休息的贬低; 功利主义价值观影响; 社会功利文化压力,0.9034528732299805
同辈行为参照引发的自我审视,个体通过观察同龄人是否休息来评估自身行为的正当性，当感知他人未休息时，自身休息会引发羞耻,1,1,[文件: sub149.txt] “同辈比较……造成了休息羞耻症”,sub149.txt,同辈行为参照引发的自我审视,1.0
成绩导向的社会评价,社会以成绩或产出作为主要评价标准，使个体认为休息等同于落后或不被认可，进而对休息感到羞耻,1,1,[文件: sub150.txt] “再加上约定俗成的社会评价体系是成绩的高低”,sub150.txt,成绩导向的社会评价,1.0
早期高压教育灌输,个体在基础教育阶段长期接受“时间必须用于学习或有意义事务”的价值灌输，导致将休息视为无效或错误行为，内化为难以改变的性格倾向,1,1,[文件: sub152.txt] “我觉得很重要的一个原因是长久以来从小学到高中的高压教育，老师和家长们总是以各种口号和现状来或是激励或是压力我们去把握一切可利用的时间去学习，去做所谓有意义的事情，在性格养成的最关键时刻我总接受着这样的思想灌输，休息羞耻已经成为不受自己控制的性格底色。”,sub152.txt,早期高压教育灌输,1.0
对成绩与生活的焦虑,个体因对自身学业表现或整体生活状态的持续焦虑，认为休息会损害其表现，从而在休息时感到不适,1,1,[文件: sub153.txt] “我觉得是对生活和成绩的焦虑”,sub153.txt,对成绩与生活的焦虑,1.0
遵从努力型社会规范的压力,个体感知到社会普遍推崇持续努力的价值观，将休息视为偏离主流行为，从而产生不合群或不被认可的羞耻感,1,1,[文件: sub155.txt] “另一部分可能就是大环境整体很多人都一直在努力，就像之前老师老是打的鸡血‘比你优秀的人都比你更努力’说的，怕自己去放松就不‘随大众’这样的想法存在”,sub155.txt,遵从努力型社会规范的压力,1.0
目标模糊引发的自我苛责,由于缺乏清晰的个人目标与努力方向，个体在面对多重任务时感到能力不足，进而产生“努力不够”的自我评价，阻碍其安心休息,1,1,[文件: sub156.txt] “目标不明确，没有非常明确的努力方向，对未来职业规划有极大的不确定性，想要全面抓但是能力不够，所以总是感觉自己的努力还远远不够，不能安心休息。”,sub156.txt,目标模糊引发的自我苛责,1.0
优绩主义文化压力,在强调个人成就与绩效至上的文化氛围中，个体因未能持续表现高效或优秀而对休息产生负罪感,1,1,[文件: sub157.txt] “功利主义或者一些优绩主义？”,sub157.txt,优绩主义文化压力,1.0
亲密关系中的能力落差感,伴侣在各方面表现优于自己，导致个体在休息时产生自我贬低或不配得感，从而引发休息羞耻,1,1,[文件: sub161.txt] “伴侣各方面比自己优秀”,sub161.txt,亲密关系中的能力落差感,1.0
未来方向不确定性,对研究生阶段发展方向缺乏清晰规划，导致个体认为当前休息是浪费时间，加剧休息时的焦虑与内疚,1,1,[文件: sub161.txt] “对未来研究生方向感到迷茫”,sub161.txt,未来方向不确定性,1.0
情绪调节困难,个体缺乏有效缓解焦虑等负面情绪的能力，导致在休息时仍被情绪困扰，难以安心,1,1,[文件: sub162.txt] “情绪焦虑无法自我缓解”,sub162.txt,情绪调节困难,1.0
社会对高效产出的推崇,社会文化高度赞扬持续高效的工作表现，将高产出视为个体价值的核心标准，使个体在休息时感到违背主流价值而产生羞耻,1,1,[文件: sub163.txt] “社会对‘高效产出’的推崇”,sub163.txt,社会对高效产出的推崇,1.0
忙碌即价值的社会观念,社会普遍将忙碌等同于个人价值和道德优越，导致个体在休息时感到自身价值被削弱，从而产生羞耻感,1,1,[文件: sub167.txt] “多因社会‘忙碌即价值’观念”,sub167.txt,忙碌即价值的社会观念,1.0
害怕落后的焦虑,个体因担忧在竞争中落后于他人而无法安心休息，休息时产生强烈的焦虑与不安，进而引发羞耻体验,1,1,[文件: sub167.txt] “怕落后的焦虑”,sub167.txt,害怕落后的焦虑,1.0
对休息即浪费时间的自我苛责,个体将休息视为对时间的浪费，并因此进行严厉的自我批评，这种内在指责直接诱发休息时的羞耻感,1,1,[文件: sub167.txt] “对‘浪费时间’的自我苛责”,sub167.txt,对休息即浪费时间的自我苛责,1.0
勤奋崇拜文化,社会和文化过度推崇勤奋，使个体将休息等同于浪费时间，从而产生羞耻感,1,1,[文件: sub169.txt] “社会和文化对‘勤奋’的过度推崇，导致了一种潜意识的认知，即‘休息就是浪费时间’”,sub169.txt,勤奋崇拜文化,1.0
同辈努力感知压力,在休息时感知到同龄人仍在学习或工作，通过对比产生自己懈怠的负面评价，加剧羞耻感,1,1,[文件: sub169.txt] “甚至会与身边的同龄人比较，感觉别人在学习或工作，而自己却在休息，会进一步加剧这种羞耻感”,sub169.txt,同辈努力感知压力,1.0
就业竞争压力,由于专业对口岗位稀缺和激烈的社会竞争，个体因担忧未来就业前景而在休息时产生羞耻或不安感,1,1,[文件: sub172.txt] “内卷，竞争比较严重，适合本专业的工作岗位较少，担心以后找不到工作”,sub172.txt,就业竞争压力,1.0
应试教育导向下的时间紧迫感,中式教育强调持续学习和刷题，使个体内化“时间必须用于学习”的观念，从而在休息时产生违背规范的不适感,1,1,[文件: sub173.txt] “一是中式教育在初高中的时候就一直教育要抓紧一切时间学习刷题，导致我们一直就只埋头苦学。”,sub173.txt,应试教育导向下的时间紧迫感,1.0
高竞争环境下的不敢松懈心理,严峻的升学与就业压力催生普遍的内卷氛围，个体因害怕落后而不敢休息，将休息视为风险行为,1,1,[文件: sub173.txt] “二是现在升学以及就业形势太严峻，大家压力都很大，不断内卷，谁都不敢放松懈怠。”,sub173.txt,高竞争环境下的不敢松懈心理,1.0
表面努力的压力,个体因身处高度竞争环境中，为维持外在形象或避免被负面评价，而被迫表现出持续努力的状态，即使这种努力缺乏实质内容；这种对“看起来在努力”的执着使个体难以安心休息，从而引发休息羞耻,1,1,[文件: sub174.txt] 大学内卷式的假努力，只是为了迎合人群，或者表面上看起来不那么差,sub174.txt,表面努力的压力,1.0
